Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000635,0,3.4391985000000003,-76.49411099999998,tienda mixta,region cali
20000638,0,3.4385899,-76.50038690000002,tienda edwin,region cali
20000642,0,3.4574263,-76.48475359999998,tienda el esquinazo,region cali
20000643,7,3.4565252,-76.4857801,miscelanea los pinos,region cali
20000644,3,3.4539657,-76.48955769999998,tienda mixta,region cali
20000645,2,3.4532761,-76.4883756,rapitienda la 62,region cali
20000646,0,3.4783252,-76.50777649999998,tienda mister aurora,region cali
20000647,8,3.4544367999999994,-76.48836440000002,salsamentaria sory,region cali
20000648,2,3.4544367999999994,-76.48836440000002,tienda los elegidos,region cali
20000649,0,3.4554246,-76.48817629999998,rapitienda asly,region cali
20000652,7,3.4570153,-76.4856295,tienda el vecino,region cali
20000655,2,3.4579652000000003,-76.4806993,tienda nuevo amanecer,region cali
20000656,0,3.4455748,-76.51456670000002,variedades helén,region cali
20000659,2,3.4455706,-76.50715749999998,tienda j & s,region cali
20000661,2,3.4449918,-76.50584959999998,tienda mixta g & g,region cali
20000663,0,3.4437505,-76.5375689,tienda mixta,region cali
20000669,0,3.4444785,-76.5140892,tienda mixta,region cali
20000672,5,3.4434272000000004,-76.5128667,miscelanea mixta leo,region cali
20000674,8,3.4462208,-76.51196910000002,granero y flover,region cali
20000675,0,3.4462615,-76.51122109999999,tienda mixta la 12,region cali
20000678,0,3.434996700000001,-76.4982376,super tienda jhoana,region cali
20000683,0,3.4364785,-76.49836379999998,tienda luz,region cali
20000685,5,3.4328492,-76.4972905,supermercado visioneros,region cali
20000686,5,3.4333723,-76.49770459999998,tienda nueva,region cali
20000687,0,3.4699147000000004,-76.4958927,tienda ana manas,region cali
20000689,3,3.4346212999999994,-76.50056690000002,tienda mixta,region cali
20000692,0,3.4316619,-76.5008647,tienda mixta,region cali
20000693,8,3.4302984,-76.4993551,tienda sofi,region cali
20000695,7,3.4295616,-76.4991103,tienda ventana,region cali
20000696,8,3.4302984,-76.4993551,tienda la abundancia del sindical,region cali
20000697,0,3.429242,-76.49999439999998,tienda sindical,region cali
20000702,3,3.4260936,-76.50229209999998,variedades javi,region cali
20000704,0,3.4311866,-76.5026438,tienda rincon de rosalba,region cali
20000705,0,3.4280305,-76.50211039999998,tienda diaz,region cali
20000707,0,3.4266598,-76.50269039999998,variedades mayi,region cali
20000708,0,3.4272178,-76.50155040000001,tienda mixta,region cali
20000709,0,3.4263108,-76.50227659999999,panaderia el milagrito,region cali
20000710,0,3.4241464999999995,-76.50583619999998,tienda paty,region cali
20000711,0,3.423759200000001,-76.50533490000002,tienda mixta,region cali
20000712,0,3.4253271,-76.50520920000002,tienda mixta jenny,region cali
20000713,2,3.426236,-76.5047785,tienda mixta,region cali
20000714,2,3.4253712,-76.5068885,tienda j & s,region cali
20000715,0,3.4209421000000004,-76.50743949999998,tienda ari,region cali
20000717,7,3.422739,-76.50435159999998,tienda san pedro claver,region cali
20000718,3,3.4196480000000005,-76.51019759999998,quesera mixta el manantial,region cali
20000720,7,3.4235514,-76.5067603,tienda mixta,region cali
20000721,2,3.423685,-76.50791219999998,tienda rubiela,region cali
20000722,0,3.4225169,-76.5074144,tienda clara,region cali
20000723,1,3.4217702000000005,-76.5074613,tienda lopez,region cali
20000724,1,3.423685,-76.50791219999998,rapitienda nini sneider,region cali
20000725,0,3.4234048,-76.5074417,tienda mixta,region cali
20000726,7,3.4234048,-76.5074417,tienda mixta,region cali
20000728,0,3.4208579,-76.50967659999998,tienda los mellizos d & d,region cali
20000729,2,3.4215974,-76.50944659999998,tienda ever,region cali
